timestamp,flight,status,departure scheduled time,departure actual time,departure actual date,arrival scheduled time,arrival actual time,arrival actual date,parsed status,raw
Sat Feb 18 21:06:01 UTC 2017,5061,Arrived Gate 29 Minutes Early,9:10 p.m.,9:01 p.m.,"Fri, Feb 17",11:40 p.m.,11:11 p.m.,"Fri, Feb 17",early,"{'5061','STATUS','Arrived Gate 29 Minutes Early','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:01 p.m.','DEPARTURE','Actual date:','Fri, Feb 17','ARRIVAL','Scheduled time:','11:40 p.m.','ARRIVAL','Actual time:','11:11 p.m.','ARRIVAL','Actual date:','Fri, Feb 17'}"
Sat Feb 18 21:06:01 UTC 2017,5141,Arrived Gate 28 Minutes Early,10:10 a.m.,9:58 a.m.,"Fri, Feb 17",12:40 p.m.,12:12 p.m.,"Fri, Feb 17",early,"{'5141','STATUS','Arrived Gate 28 Minutes Early','DEPARTURE','Scheduled time:','10:10 a.m.','DEPARTURE','Actual time:','9:58 a.m.','DEPARTURE','Actual date:','Fri, Feb 17','ARRIVAL','Scheduled time:','12:40 p.m.','ARRIVAL','Actual time:','12:12 p.m.','ARRIVAL','Actual date:','Fri, Feb 17'}"
Sat Feb 18 21:06:01 UTC 2017,5001,Arrived Gate 40 Minutes Early,1:15 p.m.,1:05 p.m.,"Fri, Feb 17",1:59 p.m.,1:19 p.m.,"Fri, Feb 17",early,"{'5001','STATUS','Arrived Gate 40 Minutes Early','DEPARTURE','Scheduled time:','1:15 p.m.','DEPARTURE','Actual time:','1:05 p.m.','DEPARTURE','Actual date:','Fri, Feb 17','ARRIVAL','Scheduled time:','1:59 p.m.','ARRIVAL','Actual time:','1:19 p.m.','ARRIVAL','Actual date:','Fri, Feb 17'}"
Sat Feb 18 21:06:01 UTC 2017,5109,Arrived Gate 37 Minutes Early,5:30 a.m.,5:21 a.m.,"Fri, Feb 17",6:14 a.m.,5:37 a.m.,"Fri, Feb 17",early,"{'5109','STATUS','Arrived Gate 37 Minutes Early','DEPARTURE','Scheduled time:','5:30 a.m.','DEPARTURE','Actual time:','5:21 a.m.','DEPARTURE','Actual date:','Fri, Feb 17','ARRIVAL','Scheduled time:','6:14 a.m.','ARRIVAL','Actual time:','5:37 a.m.','ARRIVAL','Actual date:','Fri, Feb 17'}"
Sun Feb 19 16:00:01 UTC 2017,5061,Arrived Gate 22 Minutes Early,9:10 p.m.,9:02 p.m.,"Sat, Feb 18",11:40 p.m.,11:18 p.m.,"Sat, Feb 18",early,"{'5061','STATUS','Arrived Gate 22 Minutes Early','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:02 p.m.','DEPARTURE','Actual date:','Sat, Feb 18','ARRIVAL','Scheduled time:','11:40 p.m.','ARRIVAL','Actual time:','11:18 p.m.','ARRIVAL','Actual date:','Sat, Feb 18'}"
Sun Feb 19 16:00:01 UTC 2017,5141,Arrived Gate 17 Minutes Early,10:10 a.m.,10:03 a.m.,"Sat, Feb 18",12:40 p.m.,12:23 p.m.,"Sat, Feb 18",early,"{'5141','STATUS','Arrived Gate 17 Minutes Early','DEPARTURE','Scheduled time:','10:10 a.m.','DEPARTURE','Actual time:','10:03 a.m.','DEPARTURE','Actual date:','Sat, Feb 18','ARRIVAL','Scheduled time:','12:40 p.m.','ARRIVAL','Actual time:','12:23 p.m.','ARRIVAL','Actual date:','Sat, Feb 18'}"
Sun Feb 19 16:00:01 UTC 2017,5001,Arrived Gate 42 Minutes Early,1:15 p.m.,1:05 p.m.,"Sat, Feb 18",1:59 p.m.,1:17 p.m.,"Sat, Feb 18",early,"{'5001','STATUS','Arrived Gate 42 Minutes Early','DEPARTURE','Scheduled time:','1:15 p.m.','DEPARTURE','Actual time:','1:05 p.m.','DEPARTURE','Actual date:','Sat, Feb 18','ARRIVAL','Scheduled time:','1:59 p.m.','ARRIVAL','Actual time:','1:17 p.m.','ARRIVAL','Actual date:','Sat, Feb 18'}"
Sun Feb 19 16:00:01 UTC 2017,5109,Arrived Gate 24 Minutes Early,5:30 a.m.,5:21 a.m.,"Sat, Feb 18",6:14 a.m.,5:50 a.m.,"Sat, Feb 18",early,"{'5109','STATUS','Arrived Gate 24 Minutes Early','DEPARTURE','Scheduled time:','5:30 a.m.','DEPARTURE','Actual time:','5:21 a.m.','DEPARTURE','Actual date:','Sat, Feb 18','ARRIVAL','Scheduled time:','6:14 a.m.','ARRIVAL','Actual time:','5:50 a.m.','ARRIVAL','Actual date:','Sat, Feb 18'}"
Mon Feb 20 16:00:01 UTC 2017,5061,Arrived Gate 18 Minutes Early,9:10 p.m.,9:02 p.m.,"Sun, Feb 19",11:40 p.m.,11:22 p.m.,"Sun, Feb 19",early,"{'5061','STATUS','Arrived Gate 18 Minutes Early','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:02 p.m.','DEPARTURE','Actual date:','Sun, Feb 19','ARRIVAL','Scheduled time:','11:40 p.m.','ARRIVAL','Actual time:','11:22 p.m.','ARRIVAL','Actual date:','Sun, Feb 19'}"
Mon Feb 20 16:00:01 UTC 2017,5141,Arrived Gate 18 Minutes Early,10:10 a.m.,10:04 a.m.,"Sun, Feb 19",12:40 p.m.,12:22 p.m.,"Sun, Feb 19",early,"{'5141','STATUS','Arrived Gate 18 Minutes Early','DEPARTURE','Scheduled time:','10:10 a.m.','DEPARTURE','Actual time:','10:04 a.m.','DEPARTURE','Actual date:','Sun, Feb 19','ARRIVAL','Scheduled time:','12:40 p.m.','ARRIVAL','Actual time:','12:22 p.m.','ARRIVAL','Actual date:','Sun, Feb 19'}"
